comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Guachito,Lutjanus peru,species,Lutjanus peru,Pacific red snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
Guau,Lutjanus peru,species,Lutjanus peru,Pacific red snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
Canane,Lutjanus peru,species,Lutjanus peru,Pacific red snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
Guanapo,Lutjanus synagris,species,Lutjanus synagris,Lane snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
Rubio (lutjanus synagris),Lutjanus synagris,species,Lutjanus synagris,Lane snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Lutjanus
Almeja mano de leon,Lyropecten subnodosus,species,Nodipecten subnodosus,Giant lions-paw,invert,Bivalvia,Ostreoida,Pectinidae,Nodipecten
Camaron de agua dulce,Macrobrachium americanum,species,Macrobrachium americanum,Cauque river prawn,invert,Malacostraca,Decapoda,Palaemonidae,Macrobrachium
Langostino,Macrobrachium sp,group,Macrobrachium sp,NA,NA,NA,NA,NA,NA
Chacal,Macrobrachium sp,group,Macrobrachium sp,NA,NA,NA,NA,NA,NA
Acamaya,Macrobrachium sp,group,Macrobrachium sp,NA,NA,NA,NA,NA,NA
Pigua,Macrobrachium sp,group,Macrobrachium sp,NA,NA,NA,NA,NA,NA
Moya,Macrobrachium tenellum,species,Macrobrachium tenellum,Longarm river prawn,invert,Malacostraca,Decapoda,Palaemonidae,Macrobrachium
Alga parda,Macrocystis pyrifera,species,Macrocystis pyrifera,Giant kelp,invert,Phaeophyceae,Laminariales,Lessoniaceae,Macrocystis
Marlin negro,Makaira indica,species,Istiompax indica,Black marlin,fish,Actinopterygii,Perciformes,Istiophoridae,Istiompax
Marlin azul,Makaira mazara,species,Makaira mazara,Indo-pacific blue marlin,fish,Actinopterygii,Perciformes,Istiophoridae,Makaira
Marlin blanco,Makaira mazara,species,Makaira mazara,Indo-pacific blue marlin,fish,Actinopterygii,Perciformes,Istiophoridae,Makaira
Almeja roja,Megapitaria aurantiaca,species,Megapitaria aurantiaca,NA,NA,NA,NA,NA,NA
Almeja chocolata,Megapitaria squalida,species,Megapitaria squalida,NA,NA,NA,NA,NA,NA
Almeja prieta,Megapitaria squalida,species,Megapitaria squalida,NA,NA,NA,NA,NA,NA
Lapa,Megathura crenulata,species,Megathura crenulata,Giant keyhole limpet,invert,Gastropoda,Patellogastropoda,Fissurellidae,Megathura
Boca dulce,Menticirrhus nasus,species,Menticirrhus nasus,Highfin king croaker,fish,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus
Raton,Menticirrhus panamensis,species,Menticirrhus panamensis,Panama kingcroaker,fish,Actinopterygii,Perciformes,Sciaenidae,Menticirrhus
Berrugata,Menticirrhus sp,group,Menticirrhus sp,NA,NA,NA,NA,NA,NA
Merluza,Merluccius sp,group,Merluccius sp,NA,NA,NA,NA,NA,NA
Sarangola,Microlepidotus brevipinnis,species,Microlepidotus brevipinnis,Humpback grunt,fish,Actinopterygii,Perciformes,Haemulidae,Microlepidotus
Rayadillo,Microlepidotus inornatus,species,Microlepidotus inornatus,Wavyline grunt,fish,Actinopterygii,Perciformes,Haemulidae,Microlepidotus
Jopaton,Microlepidotus inornatus,species,Microlepidotus inornatus,Wavyline grunt,fish,Actinopterygii,Perciformes,Haemulidae,Microlepidotus
Yolo,Micropogonias ectenes,species,Micropogonias ectenes,Slender croaker,fish,Actinopterygii,Perciformes,Sciaenidae,Micropogonias
Chano,Micropogonias megalops,species,Micropogonias megalops,Bigeye croaker,fish,Actinopterygii,Perciformes,Sciaenidae,Micropogonias
Gurrubata,Micropogonias undulatus,species,Micropogonias undulatus,Atlantic croaker,fish,Actinopterygii,Perciformes,Sciaenidae,Micropogonias
Lobina negra,Micropterus salmoides,species,Micropterus salmoides,Largemouth black bass,fish,Actinopterygii,Perciformes,Centrarchidae,Micropterus
Huro,Micropterus salmoides,species,Micropterus salmoides,Largemouth black bass,fish,Actinopterygii,Perciformes,Centrarchidae,Micropterus
Manta,Mobula sp,group,Mobula sp,NA,NA,NA,NA,NA,NA
Raya diablo,Mobula sp,group,Mobula sp,NA,NA,NA,NA,NA,NA
Liseta,Mugil curema,species,Mugil curema,White mullet,fish,Actinopterygii,Mugiliformes,Mugilidae,Mugil
Lebrancha,Mugil curema,species,Mugil curema,White mullet,fish,Actinopterygii,Mugiliformes,Mugilidae,Mugil
Lisa,Mugil sp,group,Mugil sp,NA,NA,NA,NA,NA,NA
Chivo,Mulloidichthys dentatus,species,Mulloidichthys dentatus,Mexican goatfish,fish,Actinopterygii,Perciformes,Mullidae,Mulloidichthys
Salmonete,Mulloidichthys dentatus,species,Mulloidichthys dentatus,Mexican goatfish,fish,Actinopterygii,Perciformes,Mullidae,Mulloidichthys
Morena pinta,Muraena lentiginosa,species,Muraena lentiginosa,Jewel moray,fish,Actinopterygii,Anguilliformes,Muraenidae,Muraena
Anguila,Muraena sp,group,Muraena sp,NA,NA,NA,NA,NA,NA
Culebra,Muraenidae,group,Muraenidae,NA,NA,NA,NA,NA,NA
Morena,Muraenidae,group,Muraenidae,NA,NA,NA,NA,NA,NA
Tripa,Mustelus sp,group,Mustelus sp,NA,NA,NA,NA,NA,NA
Mamon,Mustelus sp,group,Mustelus sp,NA,NA,NA,NA,NA,NA
Tiburon mamon,Mustelus sp,group,Mustelus sp,NA,NA,NA,NA,NA,NA
Baya,Mycteroperca jordani,species,Mycteroperca jordani,Gulf grouper,fish,Actinopterygii,Perciformes,Serranidae,Mycteroperca
