comm_name_orig,sci_name_orig,level,sci_name,comm_name,type,class,order,family,genus
Rana toro,Rana catesbeiana,species,Rana catesbeiana,NA,NA,NA,NA,NA,NA
Ratina,Rana catesbeiana,species,Rana catesbeiana,NA,NA,NA,NA,NA,NA
Rana leopardo,Rana pippiens,species,Rana pipiens,NA,NA,NA,NA,NA,NA
Rana,Rana sp,group,Rana sp,NA,NA,NA,NA,NA,NA
Guitarra,Rhinobatos productus,species,Pseudobatos productus,Shovelnose guitarfish,fish,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Pseudobatos
Viola,Rhinobatos productus,species,Pseudobatos productus,Shovelnose guitarfish,fish,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Pseudobatos
Pez guitarra,Rhinobatos sp,group,Rhinobatos sp,NA,NA,NA,NA,NA,NA
Payaso,Rhinobatos sp,group,Rhinobatos sp,NA,NA,NA,NA,NA,NA
Bironche,Rhizoprionodon longurio,species,Rhizoprionodon longurio,Pacific sharpnose shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon
Tiburon picudo,Rhizoprionodon longurio,species,Rhizoprionodon longurio,Pacific sharpnose shark,fish,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Rhizoprionodon
Besugo,Rhomboplites aurorubens,species,Rhomboplites aurorubens,Vermilion snapper,fish,Actinopterygii,Perciformes,Lutjanidae,Rhomboplites
Camaron cebra,Rimapenaeus faoe,species,Rimapenaeus faoe,Indio shrimp,invert,Malacostraca,Decapoda,Penaeidae,Rimapenaeus
Camaron botalon,Rimapenaeus pacificus,species,Rimapenaeus pacificus,Zebra shrimp,invert,Malacostraca,Decapoda,Penaeidae,Rimapenaeus
Negrillo,Rypticus nigripinnis,species,Rypticus nigripinnis,Blackfin soapfish,fish,Actinopterygii,Perciformes,Serranidae,Rypticus
Chula,Sarda sp,group,Sarda sp,NA,NA,NA,NA,NA,NA
Sardina monterrey,Sardinops caeruleus,species,Sardinops sagax,South american pilchard,fish,Actinopterygii,Clupeiformes,Clupeidae,Sardinops
Matajuelo,Sargocentron sp,group,Sargocentron sp,NA,NA,NA,NA,NA,NA
Perico,Scarus sp,group,Scarus sp,NA,NA,NA,NA,NA,NA
Loro,Scarus sp,group,Scarus sp,NA,NA,NA,NA,NA,NA
Guacamaya,Scarus sp,group,Scarus sp,NA,NA,NA,NA,NA,NA
Loro jabonero,Scarus sp,group,Scarus sp,NA,NA,NA,NA,NA,NA
Corvina agua dulce,Sciaenidae,group,Sciaenidae,NA,NA,NA,NA,NA,NA
Macarela,Scomber japonicus,species,Scomber japonicus,Chub mackerel,fish,Actinopterygii,Perciformes,Scombridae,Scomber
Sierra,Scomberomorus sierra,species,Scomberomorus sierra,Pacific sierra,fish,Actinopterygii,Perciformes,Scombridae,Scomberomorus
Pez sierra,Scomberomorus sierra,species,Scomberomorus sierra,Pacific sierra,fish,Actinopterygii,Perciformes,Scombridae,Scomberomorus
Serrucho,Scomberomorus sierra,species,Scomberomorus sierra,Pacific sierra,fish,Actinopterygii,Perciformes,Scombridae,Scomberomorus
Rascacio,Scorpaena plumier,species,Scorpaena plumieri,Spotted scorpionfish,fish,Actinopterygii,Scorpaeniformes,Scorpaenidae,Scorpaena
Lapon,Scorpaena sp,group,Scorpaena sp,NA,NA,NA,NA,NA,NA
Escorpio,Scorpaena sp,group,Scorpaena sp,NA,NA,NA,NA,NA,NA
Cabezon,Scorpaenichthys marmoratus,species,Scorpaenichthys marmoratus,Cabezon,fish,Actinopterygii,Scorpaeniformes,Cottidae,Scorpaenichthys
Bolin,Sebastes auriculatus,species,Sebastes auriculatus,Brown rockfish,fish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes
Viuda,Sebastes entomelas,species,Sebastes entomelas,Widow rockfish,fish,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes
Rocote,Sebastes sp,group,Sebastes sp,NA,NA,NA,NA,NA,NA
Cazon,Selachimorpha,group,Selachimorpha,NA,NA,NA,NA,NA,NA
Tiburon,Selachimorpha,group,Selachimorpha,NA,NA,NA,NA,NA,NA
Cazon de ley,Selachimorpha,group,Selachimorpha,NA,NA,NA,NA,NA,NA
Cazon de playa,Selachimorpha,group,Selachimorpha,NA,NA,NA,NA,NA,NA
Tiburon encerado,Selachimorpha,group,Selachimorpha,NA,NA,NA,NA,NA,NA
Ojudo,Selar crumenophthalmus,species,Selar crumenophthalmus,Bigeye scad,fish,Actinopterygii,Perciformes,Carangidae,Selar
Tonton,Selene brevoortii,species,Selene brevoortii,Hairfin lookdown,fish,Actinopterygii,Perciformes,Carangidae,Selene
Isabelita,Selene brevoortii,species,Selene brevoortii,Hairfin lookdown,fish,Actinopterygii,Perciformes,Carangidae,Selene
Chapeta,Selene oerstedii,species,Selene orstedii,Mexican moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Carito,Selene oerstedii,species,Selene orstedii,Mexican moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Chabelita,Selene peruviana,species,Selene peruviana,Peruvian moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Caballa,Selene peruviana,species,Selene peruviana,Peruvian moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Papelillo,Selene peruviana,species,Selene peruviana,Peruvian moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Caballa mexicana,Selene peruviana,species,Selene peruviana,Peruvian moonfish,fish,Actinopterygii,Perciformes,Carangidae,Selene
Vieja del pacifico,Semicossyphus pulcher,species,Semicossyphus pulcher,California sheephead,fish,Actinopterygii,Perciformes,Labridae,Semicossyphus
Jurel de castilla,Seriola lalandi,species,Seriola lalandi,Yellowtail amberjack,fish,Actinopterygii,Perciformes,Carangidae,Seriola
Medregal,Seriola sp,group,Seriola sp,NA,NA,NA,NA,NA,NA
Coronado,Seriola sp,group,Seriola sp,NA,NA,NA,NA,NA,NA
Camaron japones,Sicyonia dorsalis,species,Sicyonia dorsalis,Lesser rock shrimp,invert,Malacostraca,Decapoda,Sicyoniidae,Sicyonia
Coral negro,Sicyonia ingentis,species,Sicyonia ingentis,Ridgeback rock shrimp,invert,Malacostraca,Decapoda,Sicyoniidae,Sicyonia
Camaron piedra,Sicyonia sp,group,Sicyonia sp,NA,NA,NA,NA,NA,NA
Botete,Sphoeroides sp,group,Sphoeroides sp,NA,NA,NA,NA,NA,NA
Tambor,Sphoeroides sp,group,Sphoeroides sp,NA,NA,NA,NA,NA,NA
Buzo,Sphyraena ensis,species,Sphyraena ensis,Mexican barracuda,fish,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena
Picuda corsaria,Sphyraena ensis,species,Sphyraena ensis,Mexican barracuda,fish,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena
Tolete,Sphyraena guachancho,species,Sphyraena guachancho,Guachanche barracuda,fish,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena
Barracuda,Sphyraena sp,group,Sphyraena sp,NA,NA,NA,NA,NA,NA
Picuda,Sphyraena sp,group,Sphyraena sp,NA,NA,NA,NA,NA,NA
Tiburon cornuda,Sphyrna sp,group,Sphyrna sp,NA,NA,NA,NA,NA,NA
Tiburon martillo,Sphyrna sp,group,Sphyrna sp,NA,NA,NA,NA,NA,NA
Pez martillo,Sphyrna sp,group,Sphyrna sp,NA,NA,NA,NA,NA,NA
Cruz,Sphyrna sp,group,Sphyrna sp,NA,NA,NA,NA,NA,NA
Cabeza de pala,Sphyrna tiburo,species,Sphyrna tiburo,Bonnethead,fish,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna
Alga espirulina,Spirulina sp,group,Spirulina sp,NA,NA,NA,NA,NA,NA
Almeja burra,Spondylus calcifer,species,Spondylus limbatus,Donkey thorny oyster,invert,Bivalvia,Ostreoida,Spondylidae,Spondylus
Tiburon angelito,Squatina californica,species,Squatina californica,Pacific angelshark,fish,Elasmobranchii,Squatiniformes,Squatinidae,Squatina
Boca de novia,Stellifer furthii,species,Stellifer fuerthii,White stardrum,fish,Actinopterygii,Perciformes,Sciaenidae,Stellifer
Pescada,Stereolepis gigas,species,Stereolepis gigas,Giant seabass,fish,Actinopterygii,Perciformes,Polyprionidae,Stereolepis
Pepino de mar,Stichopodidae,group,Stichopodidae,NA,NA,NA,NA,NA,NA
Pepino de mar floridana,Stichopodidae,group,Stichopodidae,NA,NA,NA,NA,NA,NA
Medusa bola de canon,Stomolophus meleagris,species,Stomolophus meleagris,Cannonball jellyfish,invert,Scyphozoa,Rhizostomeae,Stomolophidae,Stomolophus
Caracol burro,Strombus galeatus,species,Titanostrombus galeatus,NA,NA,NA,NA,NA,NA
Caracol de una,Strombus gracilior,species,Strombus gracilior,Eastern pacific fighting conch,NA,NA,NA,NA,NA
Caracol tomburro,Strombus sp,group,Strombus sp,NA,NA,NA,NA,NA,NA
Erizo rojo,Strongylocentrotus franciscanus,species,Mesocentrotus franciscanus,Red sea urchin,invert,Echinoidea,Echinoida,Strongylocentrotidae,Mesocentrotus
Erizo morado,Strongylocentrotus purpuratus,species,Strongylocentrotus purpuratus,"
Purple urchin",invert,Echinoidea,Echinoida,Strongylocentrotidae,Strongylocentrotus
Erizo,Strongylocentrotus sp,group,Strongylocentrotus sp,NA,NA,NA,NA,NA,NA
Aguja,Strongylura exilis,species,Strongylura exilis,Californian needlefish,fish,Actinopterygii,Beloniformes,Belonidae,Strongylura
Agujilla,Strongylura sp,group,Strongylura sp,NA,NA,NA,NA,NA,NA
Pez pipa,Syngnathus sp,group,Syngnathus sp,NA,NA,NA,NA,NA,NA
Lagartija,Synodus sechurae,species,Synodus sechurae,Sechura lizardfish,fish,Actinopterygii,Aulopiformes,Synodontidae,Synodus
Chile,Synodus sp,group,Synodus sp,NA,NA,NA,NA,NA,NA
Caiman,Synodus sp,group,Synodus sp,NA,NA,NA,NA,NA,NA
Almeja navaja,Tagelus californianus,species,Tagelus californianus,California tagelus,invert,Bivalvia,Veneroida,Solecurtidae,Tagelus
Pez globo,Tetraodontidae,group,Tetraodontidae,NA,NA,NA,NA,NA,NA
Marlin rayado,Tetrapturus audax,species,Kajikia audax,Striped marlin,fish,Actinopterygii,Perciformes,Istiophoridae,Kajikia
Albacora,Thunnus alalunga,species,Thunnus alalunga,Albacore,fish,Actinopterygii,Perciformes,Scombridae,Thunnus
Atun aleta amarilla,Thunnus albacares,species,Thunnus albacares,Yellowfin tuna,fish,Actinopterygii,Perciformes,Scombridae,Thunnus
Atun patudo,Thunnus obesus,species,Thunnus obesus,Bigeye tuna,fish,Actinopterygii,Perciformes,Scombridae,Thunnus
Atun ojo grande,Thunnus obesus,species,Thunnus obesus,Bigeye tuna,fish,Actinopterygii,Perciformes,Scombridae,Thunnus
Atun aleta azul,Thunnus orientalis,species,Thunnus orientalis,Pacific bluefin tuna,fish,Actinopterygii,Perciformes,Scombridae,Thunnus
Atun,Thunnus sp,group,Thunnus sp,NA,NA,NA,NA,NA,NA
Almeja pismo,Tivela stultorum,species,Tivela stultorum,Pismo clam,invert,Bivalvia,Veneroida,Veneridae,Tivela
Totoaba,Totoaba macdonaldi,species,Totoaba macdonaldi,Totoaba,fish,Actinopterygii,Perciformes,Sciaenidae,Totoaba
Machorro,Totoaba macdonaldi,species,Totoaba macdonaldi,Totoaba,fish,Actinopterygii,Perciformes,Sciaenidae,Totoaba
Palmilla,Trachinotus rhodopus,species,Trachinotus rhodopus,Gafftopsail pompano,fish,Actinopterygii,Perciformes,Carangidae,Trachinotus
Pampanito,Trachinotus rhodopus,species,Trachinotus rhodopus,Gafftopsail pompano,fish,Actinopterygii,Perciformes,Carangidae,Trachinotus
Palometa,Trachinotus sp,group,Trachinotus sp,NA,NA,NA,NA,NA,NA
Pampanera,Trachinotus sp,group,Trachinotus sp,NA,NA,NA,NA,NA,NA
Charrito,Trachurus symmetricus,species,Trachurus symmetricus,Pacific jack mackerel,fish,Actinopterygii,Perciformes,Carangidae,Trachurus
Tiburon rayado,Triakis semifasciata,species,Triakis semifasciata,Leopard shark,fish,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis
Tiburon leopardo,Triakis semifasciata,species,Triakis semifasciata,Leopard shark,fish,Elasmobranchii,Carcharhiniformes,Triakidae,Triakis
Cintilla,Trichiurus sp,group,Trichiurus sp,NA,NA,NA,NA,NA,NA
Liston,Trichiurus sp,group,Trichiurus sp,NA,NA,NA,NA,NA,NA
Caracol turbo fluctuoso,Turbinella angulata,species,Turbinella angulata,West indian chank,invert,Gastropoda,Neogastropoda,Turbinellidae,Turbinella
Alga lechuguilla,Ulva sp,group,Ulva sp,NA,NA,NA,NA,NA,NA
Pollo,Umbrina xanti,species,Umbrina xanti,Polla drum,fish,Actinopterygii,Perciformes,Sciaenidae,Umbrina
Raya manchada,Urobatis maculatus,species,Urobatis maculatus,Spotted round ray,fish,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urobatis
Raya pinta,Urotrygon aspidura,species,Urotrygon aspidura,Panamic stingray,fish,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urotrygon
Raya torpedo,Urotrygon aspidura,species,Urotrygon aspidura,Panamic stingray,fish,Elasmobranchii,Myliobatiformes,Urotrygonidae,Urotrygon
Pez espada,Xiphias gladius,species,Xiphias gladius,Swordfish,fish,Actinopterygii,Perciformes,Xiphiidae,Xiphias
Camaron siete barbas,Xiphopenaeus riveti,species,Xiphopenaeus riveti,NA,NA,NA,NA,NA,NA
