"state","port_complex_orig","port_complex1","port_complex2","port_complex3","port_complex4","county","port","type","lat_dd","long_dd"
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","Other San Diego Ports","group",32.76588815,-117.1997032125
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","San Francisco, San Mateo","Unknown","Other San Francisco Ports","group",37.8238601941176,-122.341541517647
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Santa Barbara","Other Santa Barbara Ports","group",34.445646725,-119.8346312125
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Ventura","Oxnard","individual",34.1975048,-119.1770516
"California","Santa Barbara","Santa Barbara","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","Ventura","Oxnard/Ventura","group",34.217261,-119.255454
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Mendocino, Sonoma, Lake","Sonoma","Petaluma","individual",38.232417,-122.6366524
"California","San Francisco","San Francisco","San Francisco","40 - San Francisco","Alameda, Contra Costa","Contra Costa","Pinole","individual",38.004444,-122.291111
"California","Santa Barbara","Morro Bay","Santa Barbara","60 - Santa Barbara","San Luis Obispo, Santa Barbara, Ventura","San Luis Obispo","Pismo Beach","individual",35.148333,-120.648056
"California","Sacramento Delta","Sacramento Delta","Sacramento Delta","30 - Sacramento Delta","Alameda, Contra Costa","Contra Costa","Pittsburg","individual",38.028056,-121.884722
"California","Los Angeles","Los Angeles","Los Angeles","70 - Los Angeles","Los Angeles","Los Angeles","Playa Del Rey","individual",33.94889,-118.44472
"California","Eureka, Fort Bragg","Fort Bragg","Eureka","20 - Eureka","Mendocino, Sonoma, Lake","Mendocino","Point Arena","individual",38.908798,-123.6930726
"California","San Diego","San Diego","San Diego","80 - San Diego","San Diego, Imperial","San Diego","Point Loma","individual",32.70003,-117.2466838
