"port_code","agency","state1","state2","port_name","port_name_long1","port_name_long2","port_desc","port_yn","long_dd","lat_dd"
"OLY","WDFW","Washington","WA","Olympia","Olympia, Washington","Olympia, WA","Olympia","yes",-122.9006951,47.0378741
"OCR","WDFW","Washington","WA","Other Columbia River ports","Other Columbia River ports, Washington","Other Columbia River ports, WA","Other Columbia River Ports","no",NA,NA
"ONP","WDFW","Washington","WA","Other North Puget Sound ports","Other North Puget Sound ports, Washington","Other North Puget Sound ports, WA","Other North Puget Sound Ports","no",NA,NA
"OSP","WDFW","Washington","WA","Other South Puget Sound ports","Other South Puget Sound ports, Washington","Other South Puget Sound ports, WA","Other South Puget Sound Ports","no",NA,NA
"OWC","WDFW","Washington","WA","Other Washingtion Coastal ports","Other Washingtion Coastal ports, Washington","Other Washingtion Coastal ports, WA","Other Washingtion Coastal Ports","no",NA,NA
"OWA","WDFW","Washington","WA","Other/Unknown Washington ports 1","Other/Unknown Washington ports 1, Washington","Other/Unknown Washington ports 1, WA","Other Or Unknown Washington Ports","no",NA,NA
"WA5","WDFW","Washington","WA","Other/Unknown Washington ports 2","Other/Unknown Washington ports 2, Washington","Other/Unknown Washington ports 2, WA","Other Or Unknown Washington Ports","no",NA,NA
"PAG","WDFW","Washington","WA","Port Angeles","Port Angeles, Washington","Port Angeles, WA","Port Angeles","yes",-123.4307413,48.118146
"TNS","WDFW","Washington","WA","Port Townsend","Port Townsend, Washington","Port Townsend, WA","Port Townsend","yes",-122.7604471,48.1170387
"SEA","WDFW","Washington","WA","Seattle","Seattle, Washington","Seattle, WA","Seattle","yes",-122.3320708,47.6062095
"SEQ","WDFW","Washington","WA","Sequim","Sequim, Washington","Sequim, WA","Sequim","yes",-123.1018438,48.0795365
"SHL","WDFW","Washington","WA","Shelton","Shelton, Washington","Shelton, WA","Shelton","yes",-123.1007066,47.2150945
"SPS","WDFW","Washington","WA","South Puget Sound ports","South Puget Sound ports, Washington","South Puget Sound ports, WA","South Puget Sound Ports","no",NA,NA
"TAC","WDFW","Washington","WA","Tacoma","Tacoma, Washington","Tacoma, WA","Tacoma","yes",-122.4442906,47.2528768
"AS5","WDFW","Washington","WA","Washington At Sea 1","Washington At Sea 1, Washington","Washington At Sea 1, WA","Fish At Sea, Washington","no",NA,NA
"ASW","WDFW","Washington","WA","Washington At Sea 2","Washington At Sea 2, Washington","Washington At Sea 2, WA","Fish At Sea, Washington","no",NA,NA
"WPT","WDFW","Washington","WA","Westport","Westport, Washington","Westport, WA","Westport","yes",-124.1040613,46.8900903
"WLB","WDFW","Washington","WA","Willapa Bay","Willapa Bay, Washington","Willapa Bay, WA","Willapa Bay","yes",-123.9887774,46.5395425
