"year","lat_dd","sst_c"
1891,10.5,27.8619163513184
1891,11.5,28.1882810592651
1891,12.5,28.4009094238281
1891,13.5,28.5436975161235
1891,14.5,28.55615494468
1891,15.5,28.5105385780334
1891,16.5,28.2808564503988
1891,17.5,27.7664882114955
1891,18.5,27.3040000915527
1891,19.5,26.5855207443237
1891,20.5,26.3053131103516
1891,21.5,25.4201491219657
1891,22.5,24.1986804538303
1891,23.5,23.8325693342421
1891,24.5,22.5955352783203
1891,25.5,21.1133332252502
1891,26.5,20.2276134490967
1891,27.5,19.3716665267944
1891,28.5,18.5024793624878
1891,29.5,17.9771760304769
1891,30.5,17.7511013575963
1891,31.5,17.2540364265442
1891,32.5,16.5603466033936
1891,33.5,16.4444446563721
1892,10.5,27.0786666870117
1892,11.5,27.5346615314484
1892,12.5,27.8934281089089
1892,13.5,28.1424825986226
1892,14.5,28.2124812386253
1892,15.5,28.156666914622
1892,16.5,27.8407872517904
1892,17.5,27.1990773337228
1892,18.5,26.6214580535889
1892,19.5,25.7527089118958
1892,20.5,25.438645362854
1892,21.5,24.5045833587646
1892,22.5,23.2532174852159
1892,23.5,22.9862499237061
1892,24.5,21.8175294058663
1892,25.5,20.4499478340149
1892,26.5,19.6948677409779
1892,27.5,18.9846878051758
1892,28.5,18.2474792480469
1892,29.5,17.7863890329997
1892,30.5,17.5739288330078
1892,31.5,17.0656251907349
1892,32.5,16.2924308776855
1892,33.5,16.1096528371175
1893,10.5,27.2770832061768
1893,11.5,27.7114582061768
1893,12.5,28.008655201305
1893,13.5,28.1905209223429
1893,14.5,28.2059279355136
1893,15.5,28.1583681106567
1893,16.5,27.9043519761827
1893,17.5,27.3585117885045
1893,18.5,26.8611251831055
1893,19.5,26.0585412979126
1893,20.5,25.7323436737061
1893,21.5,24.7398806980678
1893,22.5,23.4084027608236
1893,23.5,23.0248616536458
1893,24.5,21.7730061667306
1893,25.5,20.318359375
1893,26.5,19.4968558224765
1893,27.5,18.7183334350586
1893,28.5,17.9094375610352
1893,29.5,17.4016666412354
1893,30.5,17.1792855943952
1893,31.5,16.6477080583572
1893,32.5,15.9268054962158
1893,33.5,15.7535416285197
1894,10.5,27.1334167480469
1894,11.5,27.590859413147
1894,12.5,27.940019087358
1894,13.5,28.1707811355591
1894,14.5,28.2183144309304
1894,15.5,28.1647396087646
1894,16.5,27.8809719085693
1894,17.5,27.2914581298828
1894,18.5,26.7647083282471
1894,19.5,25.9658851623535
1894,20.5,25.6844787597656
1894,21.5,24.7590776171003
1894,22.5,23.4772220187717
1894,23.5,23.1615047454834
1894,24.5,21.9082739693778
1894,25.5,20.4121351242065
1894,26.5,19.5203410061923
1894,27.5,18.7246873855591
1894,28.5,17.875895690918
1894,29.5,17.3539354536268
1894,30.5,17.1224700382778
1894,31.5,16.5574218034744
1894,32.5,15.8022918701172
1894,33.5,15.6246528625488
1895,10.5,27.6526668548584
1895,11.5,28.071328163147
1895,12.5,28.3588071302934
1895,13.5,28.5404167175293
1895,14.5,28.5623297257857
1895,15.5,28.518541653951
1895,16.5,28.2709030575222
1895,17.5,27.762321472168
1895,18.5,27.3223331451416
1895,19.5,26.6128644943237
1895,20.5,26.3692712783813
1895,21.5,25.4585116250174
1895,22.5,24.1656483544244
1895,23.5,23.7956017388238
1895,24.5,22.5309524536133
1895,25.5,21.07692694664
1895,26.5,20.2601703297008
1895,27.5,19.4630416870117
1895,28.5,18.6356876373291
1895,29.5,18.0767824384901
1895,30.5,17.7773216792515
1895,31.5,17.173280954361
1895,32.5,16.3543745676676
1895,33.5,16.1365973154704
1896,10.5,27.8987915039062
1896,11.5,28.2872657775879
1896,12.5,28.5542425675826
1896,13.5,28.7279167175293
1896,14.5,28.7465718009255
1896,15.5,28.7012497584025
1896,16.5,28.4724767473009
1896,17.5,27.9428868974958
1896,18.5,27.4488750457764
1896,19.5,26.6828126907349
1896,20.5,26.4139585494995
1896,21.5,25.5072021484375
1896,22.5,24.2284950680203
1896,23.5,23.914652718438
1896,24.5,22.6570538112095
1896,25.5,21.1536719799042
1896,26.5,20.2571024461226
1896,27.5,19.4414999008179
1896,28.5,18.5734582901001
1896,29.5,18.0168516370985
1896,30.5,17.7338096073696
1896,31.5,17.136458158493
1896,32.5,16.3433335622152
1896,33.5,16.1257638931274
1897,10.5,27.9105415344238
1897,11.5,28.3128385543823
1897,12.5,28.6124243302779
1897,13.5,28.8416144053141
1897,14.5,28.930511301214
1897,15.5,28.9426910082499
1897,16.5,28.7588655683729
1897,17.5,28.2470242636544
1897,18.5,27.7670833587646
1897,19.5,27.0041666030884
1897,20.5,26.7258334159851
1897,21.5,25.7918158939907
1897,22.5,24.4876386854384
1897,23.5,24.1592593722873
1897,24.5,22.8905356270926
1897,25.5,21.3823697566986
1897,26.5,20.4581252011386
1897,27.5,19.6395626068115
1897,28.5,18.7345830917358
1897,29.5,18.1487038930257
1897,30.5,17.8444641658238
1897,31.5,17.2013804912567
1897,32.5,16.4295838673909
1897,33.5,16.2392358779907
1898,10.5,27.4673336029053
1898,11.5,27.9330992698669
1898,12.5,28.2828979492188
1898,13.5,28.5301559766134
1898,14.5,28.598390232433
1898,15.5,28.5807811419169
1898,16.5,28.3425462510851
